year	sex	occupation	people	score	sei
1860	1	Engraver	2608	33	47
1860	1	Entertainer	501	20	31
1860	1	Farm Advisor	100	36	83
1860	1	Farm Foreman	31787	23	20
1860	1	Farm Laborer	841587	15	14
1860	1	Farm Manager	3514	24	36
1860	1	Farmer	2586005	14	14
1860	1	Fireman	3811	31	27
1860	1	Fisherman	18666	16	10
1860	1	Foremen	9835	38	49
1860	1	Forgemen	1507	32	23
1860	1	Forrester	300	29	48
1860	1	Funeral Director	601	31	59
1860	1	Furnaceman	7528	29	18
1860	1	Furrier	301	32	39
1860	1	Gardener / Groundskeeper	18751	17	11
1860	1	Glazier	901	28	26
1860	1	Hospital Attendant	200	16	13
1860	1	Household Worker	36635	9	17
1860	1	Huckster	21079	13	8
1860	1	Inmate	1303	0	0
1860	1	Inspector	1808	32	42
1860	1	Insurance Agent	1806	36	66
1860	1	Janitor	803	19	9
1860	1	Jeweler	17268	27	36
1860	1	Laborer	826978	20	8
1860	1	Laundry / Dry Cleaning	1805	15	15
1860	1	Lawyer / Judge	35027	62	93
1860	1	Librarian	100	22	60
1860	1	Lithographer	600	47	64
1860	1	Locomotive Engineer	2206	46	58
1860	1	Locomotive Fireman	1709	37	45
1860	1	Longshoreman	2207	25	11
1860	1	Loom Fixer	100	29	10
1860	1	Lumberman	16948	12	4
1860	1	Machinist	38635	32	33
1860	1	Mail Carrier	1907	34	53
1860	1	Manager / Owner	365479	42	68
1860	1	Mason	67738	29	27
1860	1	Meat Cutter	35620	29	29
1860	1	Mechanic	39053	30	27
1860	1	Messenger	1704	27	48
1860	1	Metal Filer	2514	30	22
1860	1	Metal Heater	1404	32	29
1860	1	Metal Worker	20465	33	34
1860	1	Military	10522	11	18
1860	1	Miller	34234	25	19
1860	1	Milliner	903	19	46
1860	1	Millwright	7722	34	31
1860	1	Miner	147614	24	10
1860	1	Model Maker	2912	34	44
1860	1	Molder	18769	28	12
1860	1	Motorman	100	34	34
1860	1	Musician / Music Teacher	8025	20	52
1860	1	Newsboy	1105	3	27
1860	1	Nurse	101	11	22
1860	1	Operative	247834	23	18
1860	1	Optician / Lens Grinder	401	30	39
1860	1	Painter	55188	25	17
1860	1	Paperhanger	1907	15	10
1860	1	Pharmacist	9836	40	82
1860	1	Photographer	3815	27	50
1860	1	Physician / Surgeon	58907	80	92
1860	1	Piano / Organ Tuner	501	24	38
1860	1	Plasterer	13749	29	25
1860	1	Plumber	6216	33	34
1860	1	Policeman / Detective	4117	32	39
1860	1	Porter	11944	18	4
1860	1	Postmaster	3108	29	60
1860	1	Pressman	301	38	49
1860	1	Professional - Misc	1711	33	65
1860	1	Professor	1002	41	84
1860	1	Professor - Mathematics	200	41	84
1860	1	Professor - Science	100	41	84
1860	1	Professor - Social Science 	202	41	84
1860	1	Public Officials	10236	36	66
1860	1	Railroad Brakeman	2410	36	42
1860	1	Railroad Conductor	5217	43	58
1860	1	Railroad Switchman	202	36	44
1860	1	Real Estate Agent	2511	35	62
1860	1	Religious Worker	1712	15	56
1860	1	Retired	10543	0	0
1860	1	Roller	1706	30	22
1860	1	Roofer	1202	23	15
1860	1	Sailor	67827	23	16
1860	1	Salesman	166761	24	47
1860	1	Sawyer	13444	17	5
1860	1	Scientist	101	41	80
1860	1	Scientist - Biology	100	41	80
1860	1	Security Guard	5921	25	18
1860	1	Service Attendant	100	13	26
1860	1	Service Worker	401	11	11
1860	1	Sheriff / Bailiff	2913	30	34
1860	1	Ship Officers	15656	42	54
1860	1	Shipping and Receiving	100	26	22
1860	1	Shoemaker	154840	20	12
1860	1	Stationary Engineer	21783	36	47
1860	1	Stone Cutter	15541	28	25
1860	1	Street Car Conductor	300	33	30
1860	1	Surveyor	2606	28	48
1860	1	Tailor	64025	26	23
1860	1	Taxi Cab Driver / Chauffeur	8330	22	10
1860	1	Teacher	45663	27	72
1860	1	Telegraph Operator	1403	32	47
1860	1	Textile Spinner	6524	18	5
1860	1	Therapist	401	26	58
1860	1	Ticket Agent	4718	35	60
1860	1	Tool Maker	301	37	50
1860	1	Truck / Tractor Driver	63194	25	15
1860	1	Typesetter	21878	36	52
1860	1	Upholsterer	2406	26	22
1860	1	Usher	100	4	25
1860	1	Veterinarian	101	42	78
